3, 26159, Note_on_c, 2, 83, 47
3, 26400, Note_off_c, 2, 83, 64
3, 26400, Note_on_c, 2, 84, 51
3, 26640, Note_off_c, 2, 84, 64
3, 26640, Note_on_c, 2, 81, 46
3, 27120, Note_off_c, 2, 81, 64
3, 27120, Note_on_c, 2, 80, 43
3, 27360, Note_off_c, 2, 80, 64
3, 27360, Note_on_c, 2, 81, 53
3, 28560, Note_off_c, 2, 81, 64
3, 31440, Note_on_c, 2, 76, 45
3, 31680, Note_off_c, 2, 76, 64
3, 31680, Note_on_c, 2, 81, 54
3, 32160, Note_off_c, 2, 81, 64
3, 32160, Note_on_c, 2, 84, 61
3, 32400, Note_off_c, 2, 84, 64
3, 32400, Note_on_c, 2, 83, 48
3, 32880, Note_off_c, 2, 83, 64
3, 32880, Note_on_c, 2, 76, 45
3, 33119, Note_off_c, 2, 76, 64
3, 33119, Note_on_c, 2, 74, 43
3, 33360, Note_off_c, 2, 74, 64
3, 33360, Note_on_c, 2, 72, 45
3, 33600, Note_off_c, 2, 72, 64
3, 33600, Note_on_c, 2, 71, 50
3, 33840, Note_off_c, 2, 71, 64
3, 33840, Note_on_c, 2, 69, 45
3, 34080, Note_off_c, 2, 69, 64
3, 34080, Note_on_c, 2, 72, 55
3, 34320, Note_off_c, 2, 72, 64
3, 34320, Note_on_c, 2, 76, 55
3, 34560, Note_off_c, 2, 76, 64
3, 34560, Note_on_c, 2, 74, 50
3, 34799, Note_off_c, 2, 74, 64
3, 34799, Note_on_c, 2, 76, 47
3, 35040, Note_off_c, 2, 76, 64
3, 35040, Note_on_c, 2, 77, 49
3, 35279, Note_off_c, 2, 77, 64
3, 35279, Note_on_c, 2, 76, 45
3, 35520, Note_off_c, 2, 76, 64
3, 35520, Note_on_c, 2, 74, 49
3, 35760, Note_off_c, 2, 74, 64
3, 35760, Note_on_c, 2, 76, 53
3, 36000, Note_off_c, 2, 76, 64
3, 36000, Note_on_c, 2, 72, 47
3, 36240, Note_off_c, 2, 72, 64
3, 36240, Note_on_c, 2, 71, 52
3, 36480, Note_off_c, 2, 71, 64
3, 36480, Note_on_c, 2, 69, 41
3, 36720, Note_off_c, 2, 69, 64
3, 36720, Note_on_c, 2, 74, 63
3, 36959, Note_off_c, 2, 74, 64
3, 36959, Note_on_c, 2, 76, 53
3, 37200, Note_off_c, 2, 76, 64
3, 37200, Note_on_c, 2, 77, 49
3, 37439, Note_off_c, 2, 77, 64
3, 37439, Note_on_c, 2, 76, 46
3, 37680, Note_off_c, 2, 76, 64
3, 37680, Note_on_c, 2, 74, 46
3, 37920, Note_off_c, 2, 74, 64
3, 37920, Note_on_c, 2, 77, 57
3, 38160, Note_off_c, 2, 77, 64
3, 38160, Note_on_c, 2, 76, 49
3, 38400, Note_off_c, 2, 76, 64
3, 38400, Note_on_c, 2, 80, 53
3, 38640, Note_off_c, 2, 80, 64
3, 38640, Note_on_c, 2, 81, 55
3, 38880, Note_off_c, 2, 81, 64
3, 38880, Note_on_c, 2, 84, 56
3, 39120, Note_off_c, 2, 84, 64
3, 39120, Note_on_c, 2, 81, 46
3, 39360, Note_off_c, 2, 81, 64
3, 39360, Note_on_c, 2, 76, 45
3, 39599, Note_off_c, 2, 76, 64
3, 39599, Note_on_c, 2, 74, 45
3, 39840, Note_off_c, 2, 74, 64
3, 39840, Note_on_c, 2, 76, 52
3, 40079, Note_off_c, 2, 76, 64
3, 40079, Note_on_c, 2, 77, 53
3, 40320, Note_off_c, 2, 77, 64
3, 40320, Note_on_c, 2, 76, 49
3, 40560, Note_off_c, 2, 76, 64
3, 40560, Note_on_c, 2, 74, 46
3, 40800, Note_off_c, 2, 74, 64
3, 40800, Note_on_c, 2, 71, 47
3, 41040, Note_off_c, 2, 71, 64
3, 41040, Note_on_c, 2, 72, 52
3, 41520, Note_off_c, 2, 72, 64
3, 41520, Note_on_c, 2, 71, 45
3, 41759, Note_off_c, 2, 71, 64
3, 41759, Note_on_c, 2, 67, 45
3, 42000, Note_off_c, 2, 67, 64
3, 42000, Note_on_c, 2, 71, 53
3, 42239, Note_off_c, 2, 71, 64
3, 42239, Note_on_c, 2, 74, 53
3, 42480, Note_off_c, 2, 74, 64
3, 42480, Note_on_c, 2, 72, 48
3, 42720, Note_off_c, 2, 72, 64
3, 42720, Note_on_c, 2, 71, 53
3, 42960, Note_off_c, 2, 71, 64
3, 42960, Note_on_c, 2, 72, 53
3, 43200, Note_off_c, 2, 72, 64
3, 43200, Note_on_c, 2, 69, 47
3, 43559, Note_off_c, 2, 69, 64
3, 43680, Note_on_c, 2, 84, 64
3, 43919, Note_off_c, 2, 84, 64
3, 43919, Note_on_c, 2, 84, 53
3, 44399, Note_off_c, 2, 84, 64
3, 44399, Note_on_c, 2, 86, 47
3, 44520, Note_off_c, 2, 86, 64
3, 44640, Note_on_c, 2, 84, 48
3, 45120, Note_off_c, 2, 84, 64
3, 45120, Note_on_c, 2, 83, 51
3, 45360, Note_off_c, 2, 83, 64
3, 45360, Note_on_c, 2, 84, 51
3, 45840, Note_off_c, 2, 84, 64
3, 45840, Note_on_c, 2, 86, 54
3, 46080, Note_off_c, 2, 86, 64
3, 46080, Note_on_c, 2, 88, 48
3, 46559, Note_off_c, 2, 88, 64
3, 46559, Note_on_c, 2, 88, 50
3, 46800, Note_off_c, 2, 88, 64
3, 46800, Note_on_c, 2, 86, 44
3, 47520, Note_off_c, 2, 86, 64
3, 47520, Note_on_c, 2, 84, 46
3, 48240, Note_off_c, 2, 84, 64
3, 48240, Note_on_c, 2, 83, 48
3, 49440, Note_off_c, 2, 83, 64
3, 49440, Note_on_c, 2, 84, 50
3, 49680, Note_off_c, 2, 84, 64
3, 49680, Note_on_c, 2, 86, 58
3, 50160, Note_off_c, 2, 86, 64
3, 50160, Note_on_c, 2, 84, 50
3, 50400, Note_off_c, 2, 84, 64
3, 50400, Note_on_c, 2, 83, 48
3, 50879, Note_off_c, 2, 83, 64
3, 50879, Note_on_c, 2, 81, 45
3, 51120, Note_off_c, 2, 81, 64
3, 51120, Note_on_c, 2, 83, 55
3, 51840, Note_off_c, 2, 83, 64
3, 51840, Note_on_c, 2, 76, 40
3, 52560, Note_off_c, 2, 76, 64
3, 52560, Note_on_c, 2, 81, 55
3, 53280, Note_off_c, 2, 81, 64
3, 53280, Note_on_c, 2, 84, 61
3, 53519, Note_off_c, 2, 84, 64
3, 53519, Note_on_c, 2, 83, 47
3, 53760, Note_off_c, 2, 83, 64
3, 53760, Note_on_c, 2, 84, 49
3, 53999, Note_off_c, 2, 84, 64
3, 53999, Note_on_c, 2, 81, 45
3, 54480, Note_off_c, 2, 81, 64
3, 54480, Note_on_c, 2, 80, 47
3, 54720, Note_off_c, 2, 80, 64
3, 54720, Note_on_c, 2, 81, 53
3, 55920, Note_off_c, 2, 81, 64
3, 60959, Note_on_c, 2, 84, 43
3, 61200, Note_off_c, 2, 84, 64
3, 61200, Note_on_c, 2, 86, 52
3, 61680, Note_off_c, 2, 86, 64
3, 61680, Note_on_c, 2, 84, 50
3, 61920, Note_off_c, 2, 84, 64
3, 61920, Note_on_c, 2, 83, 40
3, 62400, Note_off_c, 2, 83, 64
3, 62400, Note_on_c, 2, 81, 50
3, 62639, Note_off_c, 2, 81, 64
3, 62639, Note_on_c, 2, 83, 53
3, 63360, Note_off_c, 2, 83, 64
3, 63360, Note_on_c, 2, 76, 37
3, 63959, Note_off_c, 2, 76, 64
3, 64080, Note_on_c, 2, 81, 58
3, 64799, Note_off_c, 2, 81, 64
3, 64799, Note_on_c, 2, 84, 51
3, 65040, Note_off_c, 2, 84, 64
3, 65040, Note_on_c, 2, 83, 47
3, 65279, Note_off_c, 2, 83, 64
3, 65279, Note_on_c, 2, 84, 53
3, 65520, Note_off_c, 2, 84, 64
3, 65520, Note_on_c, 2, 81, 47
3, 66000, Note_off_c, 2, 81, 64
3, 66000, Note_on_c, 2, 80, 43
3, 66240, Note_off_c, 2, 80, 64
3, 66240, Note_on_c, 2, 81, 50
3, 67439, Note_off_c, 2, 81, 64
3, 69120, Note_on_c, 2, 72, 47
3, 69360, Note_off_c, 2, 72, 64
3, 69360, Note_on_c, 2, 71, 43
3, 69599, Note_off_c, 2, 71, 64
3, 69599, Note_on_c, 2, 72, 49
3, 69840, Note_off_c, 2, 72, 64
3, 69840, Note_on_c, 2, 69, 44
3, 70560, Note_off_c, 2, 69, 64
3, 74880, Note_on_c, 2, 84, 42
3, 75120, Note_off_c, 2, 84, 64
3, 75120, Note_on_c, 2, 83, 37
3, 75360, Note_off_c, 2, 83, 64
3, 75360, Note_on_c, 2, 84, 41
3, 75600, Note_off_c, 2, 84, 64
3, 75600, Note_on_c, 2, 81, 40
3, 76080, Note_off_c, 2, 81, 64
3, 76080, Note_on_c, 2, 80, 40
3, 76320, Note_off_c, 2, 80, 64
3, 76320, Note_on_c, 2, 81, 43
3, 77040, Note_off_c, 2, 81, 64
3, 88560, Note_on_c, 2, 82, 62
3, 88799, Note_off_c, 2, 82, 64
3, 89040, Note_on_c, 2, 81, 67
3, 89279, Note_off_c, 2, 81, 64
3, 89520, Note_on_c, 2, 79, 64
3, 89760, Note_off_c, 2, 79, 64
3, 90000, Note_on_c, 2, 77, 65
3, 90240, Note_off_c, 2, 77, 64
3, 90480, Note_on_c, 2, 82, 79
3, 90720, Note_off_c, 2, 82, 64
3, 91439, Note_on_c, 2, 84, 61
3, 91680, Note_off_c, 2, 84, 64
3, 92400, Note_on_c, 2, 89, 59
3, 92520, Note_off_c, 2, 89, 64
3, 92640, Note_on_c, 2, 87, 67
3, 92759, Note_off_c, 2, 87, 64
3, 92880, Note_on_c, 2, 86, 66
3, 93000, Note_off_c, 2, 86, 64
